,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
136,ALL,80,20,0.944052369581526,"0.8234738222635316
",0.8837630959225289
118,ALL,70,20,0.938356082843468,"0.8268933371919077
",0.8826247100176878
66,ALL,20,80,0.8255536624511266,"0.9347582954148753
",0.8801559789330009
25,ALL,10,90,0.8200190821587199,"0.9396131987761133
",0.8798161404674165
89,ALL,40,30,0.8857742198834094,"0.8705352535882699
",0.8781547367358397
108,ALL,60,20,0.9264771317311322,"0.8255948869828542
",0.8760360093569932
65,ALL,20,70,0.8264798376728681,"0.9253563534042567
",0.8759180955385624
17,ALL,10,100,0.8105378881172637,"0.9406481167917573
",0.8755930024545104
80,ALL,30,40,0.85529241341223,"0.8923335529436471
",0.8738129831779385
24,ALL,10,80,0.8122404706758432,"0.9327401806552162
",0.8724903256655296
23,ALL,10,70,0.8209044221245455,"0.9226811322034558
",0.8717927771640006
98,ALL,50,20,0.9129713957819201,"0.8272110535746257
",0.8700912246782728
63,ALL,20,50,0.8263063606505276,"0.9080553417607974
",0.8671808512056625
64,ALL,20,60,0.8165131092280735,"0.9158233841722436
",0.8661682467001586
62,ALL,20,40,0.8295442450138499,"0.8960028077263289
",0.8627735263700894
79,ALL,30,30,0.855007905972317,"0.8682673989742958
",0.8616376524733065
22,ALL,10,60,0.7990433137209608,"0.9193891964117319
",0.8592162550663464
88,ALL,40,20,0.8889371917842934,"0.8265854724799735
",0.8577613321321335
61,ALL,20,30,0.8360513492370862,"0.8735740014409276
",0.8548126753390068
21,ALL,10,50,0.7949572274542415,"0.9068647673468252
",0.8509109974005333
78,ALL,30,20,0.8540697169400239,"0.8273755764766652
",0.8407226467083445
20,ALL,10,40,0.7761662235350532,"0.8922749355025111
",0.8342205795187821
60,ALL,20,20,0.8295408368579279,"0.8279144628684382
",0.828727649863183
0,ALL,100,10,0.9561841270960049,"0.695838038532365
",0.8260110828141849
144,ALL,90,10,0.9518517880384659,"0.6950080352689932
",0.8234299116537296
19,ALL,10,30,0.7787570388699648,"0.8680787394788352
",0.8234178891744
134,ALL,80,10,0.9447298756955583,"0.6944198905233316
",0.8195748831094449
116,ALL,70,10,0.9362085622702507,"0.6969300962385142
",0.8165693292543825
106,ALL,60,10,0.9258865111413144,"0.6986595570442844
",0.8122730340927994
96,ALL,50,10,0.9096497550626336,"0.697671927048389
",0.8036608410555113
18,ALL,10,20,0.7781628176069229,"0.8175283389466703
",0.7978455782767966
86,ALL,40,10,0.89179863738648,"0.6948932633044017
",0.7933459503454409
76,ALL,30,10,0.8583196294195317,"0.689155157657543
",0.7737373935385373
58,ALL,20,10,0.8396129141878002,"0.6820363403506186
",0.7608246272692094
16,ALL,10,10,0.8054333323180032,"0.6728777346083195
",0.7391555334631613
