,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
66,ALL,20,80,0.79196802518123,"0.9365738234070439
",0.8642709242941369
65,ALL,20,70,0.8014473586426372,"0.9259074344024376
",0.8636773965225374
79,ALL,30,30,0.8491520007237917,"0.8772896709704258
",0.8632208358471087
64,ALL,20,60,0.8077538217990411,"0.913377759267061
",0.860565790533051
63,ALL,20,50,0.8079556789389705,"0.9102873802582913
",0.8591215295986309
62,ALL,20,40,0.8204026255455212,"0.8898812994585853
",0.8551419625020533
52,ALL,200,150,0.9315609340173133,"0.7774140982923332
",0.8544875161548233
70,ALL,250,150,0.945909289626875,"0.7628956684714342
",0.8544024790491547
88,ALL,40,20,0.8722593154282434,"0.8271163057059002
",0.8496878105670718
17,ALL,10,100,0.7458070922250917,"0.950876718034271
",0.8483419051296813
71,ALL,250,175,0.9382469536535605,"0.7493825489379187
",0.8438147512957396
61,ALL,20,30,0.8056811477651684,"0.873526134943746
",0.8396036413544572
78,ALL,30,20,0.8456251979042487,"0.8322459391919451
",0.8389355685480969
25,ALL,10,90,0.7334565680586627,"0.9392586422325127
",0.8363576051455877
24,ALL,10,80,0.7280674799667938,"0.9312182423991234
",0.8296428611829586
22,ALL,10,60,0.739875207704149,"0.9159391920034199
",0.8279071998537845
23,ALL,10,70,0.7230017646302556,"0.9293825489380559
",0.8261921567841557
144,ALL,90,10,0.9441533307042422,"0.6969309662641011
",0.8205421484841717
0,ALL,100,10,0.9503528412068075,"0.6902186588921773
",0.8202857500494924
60,ALL,20,20,0.8100829701935319,"0.82518221574338
",0.817632592968456
21,ALL,10,50,0.7311263273255465,"0.9032767596835213
",0.8172015435045339
134,ALL,80,10,0.9379158697288579,"0.6964150354019529
",0.8171654525654054
116,ALL,70,10,0.9319654946487669,"0.6925249895877141
",0.8122452421182405
20,ALL,10,40,0.719853966454602,"0.8902644731362206
",0.8050592197954113
106,ALL,60,10,0.920203655086234,"0.6854300291545641
",0.802816842120399
19,ALL,10,30,0.7236056044951108,"0.8681341107871398
",0.7958698576411253
96,ALL,50,10,0.900496816430292,"0.6807450020825206
",0.7906209092564063
86,ALL,40,10,0.8792823645633099,"0.6853024781341649
",0.7822924213487374
76,ALL,30,10,0.8492892995158371,"0.6852337567680652
",0.7672615281419511
18,ALL,10,20,0.7085326847409786,"0.8248297584339238
",0.7666812215874512
58,ALL,20,10,0.8089730544811524,"0.684852665556071
",0.7469128600186117
16,ALL,10,10,0.7253838245725459,"0.6734782382341337
",0.6994310314033398
